Sample in Buffer,Sample in Window,TRIGGER,i_system_wrapper/wifi_dsn_i/dbg_sic_fir_q[14:0],u_ila_0_dbg_sic_fir_q[15:15],i_system_wrapper/wifi_dsn_i/dbg_sic_auto_corr[25:0],i_system_wrapper/wifi_dsn_i/dbg_sic_ch_est_i[31:0],i_system_wrapper/wifi_dsn_i/dbg_sic_lts_th[15:0],i_system_wrapper/wifi_dsn_i/dbg_sic_memory_out_q[14:0],u_ila_0_dbg_sic_memory_out_q[15:15],i_system_wrapper/wifi_dsn_i/dbg_sic_lts_corr[31:0],i_system_wrapper/wifi_dsn_i/dbg_sic_fir_i[14:0],u_ila_0_dbg_sic_fir_i[15:15],i_system_wrapper/wifi_dsn_i/dbg_sic_auto_th[25:0],i_system_wrapper/wifi_dsn_i/tx_wave_bram_0_tx_ram_addr[10:0],i_system_wrapper/wifi_dsn_i/mux_1_dout[15:0],i_system_wrapper/wifi_dsn_i/wlan_fd_32b_0_cancel_i_out[15:0],i_system_wrapper/wifi_dsn_i/dbg_sic_memory_out_i[14:0],u_ila_0_dbg_sic_memory_out_i[15:15],i_system_wrapper/wifi_dsn_i/dbg_sic_eng_th[13:0],i_system_wrapper/wifi_dsn_i/fifo_generator_idata_rx_dout[15:0],i_system_wrapper/wifi_dsn_i/fifo_generator_qdata_rx_dout[15:0],i_system_wrapper/wifi_dsn_i/mux_0_dout[15:0],i_system_wrapper/wifi_dsn_i/wlan_fd_32b_0_cancel_q_out[15:0],i_system_wrapper/wifi_dsn_i/dbg_rx_din_sel[1:0],i_system_wrapper/wifi_dsn_i/dbg_sic_ch_est_q[31:0],i_system_wrapper/wifi_dsn_i/dbg_sic_eng14[13:0],i_system_wrapper/wifi_dsn_i/tx_wave_bram_0/dbg_en_out[0:0],i_system_wrapper/wifi_dsn_i/tx_wave_bram_0/inst/tx_ram_wr_en[0:0],i_system_wrapper/wifi_dsn_i/dbg_ch_est,i_system_wrapper/wifi_dsn_i/dbg_ch_est_done,i_system_wrapper/wifi_dsn_i/dbg_sic_cancel,i_system_wrapper/wifi_dsn_i/dbg_sic_ch_est_valid,i_system_wrapper/wifi_dsn_i/dbg_sic_det_ofdm,u_ila_0_dbg_sic_lts_sync_1,u_ila_0_dbg_sic_lts_sync,i_system_wrapper/wifi_dsn_i/dbg_sic_lts_timeout,i_system_wrapper/wifi_dsn_i/dbg_tx_running_1,i_system_wrapper/wifi_dsn_i/full_2,i_system_wrapper/wifi_dsn_i/full_3,i_system_wrapper/wifi_dsn_i/gxc_wtx_0_tx_dout_valid_free,i_system_wrapper/wifi_dsn_i/mux_1b_0_dout,i_system_wrapper/wifi_dsn_i/mux_wr_en_dout,u_ila_0_tx_wave_bram_0_tx_ram_sel
0,0,0,0000,0,0000000,000b19bf,1f40,7fe0,1,00000004,0000,0,0000000,000,0,0090,7f90,1,0001,-16,48,0,fff0,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1,1,0,0000,0,0000000,000b19bf,1f40,7fe0,1,000000d0,0000,0,0000000,000,0,0090,7f90,1,0001,-16,48,0,fff0,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2,2,0,0000,0,0000000,000b19bf,1f40,7fe0,1,000000d0,0000,0,0000000,000,0,ff90,7f90,1,0001,-16,48,0,ffe0,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
3,3,0,0000,0,0000000,000b19bf,1f40,7fe0,1,000000d0,0000,0,0000000,000,0,ff90,7f90,1,0001,-16,48,0,ffe0,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
4,4,0,0000,0,0000000,000b19bf,1f40,7fe0,1,000000d0,0000,0,0000000,000,0,ff90,7f90,1,0001,-16,48,0,ffe0,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
5,5,0,0000,0,0000000,000b19bf,1f40,7fe0,1,000000d0,0000,0,0000000,000,0,ff90,7f90,1,0001,48,-48,0,ffe0,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
6,6,0,0000,0,0000000,000b19bf,1f40,7fe0,1,000000d0,0000,0,0000000,000,0,ff90,7f90,1,0001,48,-48,0,ffe0,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
7,7,0,0000,0,0000000,000b19bf,1f40,7fe0,1,000000d0,0000,0,0000000,000,0,ff90,7f90,1,0001,48,-48,0,ffe0,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
8,8,0,0000,0,0000000,000b19bf,1f40,0000,0,000000d0,0000,0,0000000,000,0,ff90,0050,0,0001,48,-48,0,ffe0,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
9,9,0,0000,0,0000000,000b19bf,1f40,0000,0,000002d4,0000,0,0000000,000,0,ff90,0050,0,0001,48,-48,0,ffe0,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
10,10,0,0000,0,0000000,000b19bf,1f40,0000,0,000002d4,0000,0,0000000,000,0,0050,0050,0,0001,48,-48,0,0000,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
11,11,0,0000,0,0000000,000b19bf,1f40,0000,0,000002d4,0000,0,0000000,000,0,0050,0050,0,0001,48,-48,0,0000,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
12,12,0,0000,0,0000000,000b19bf,1f40,0000,0,000002d4,0000,0,0000000,000,0,0050,0050,0,0001,48,-48,0,0000,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
13,13,0,0000,0,0000000,000b19bf,1f40,0000,0,000002d4,0000,0,0000000,000,0,0050,0050,0,0001,-32,48,0,0000,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
14,14,0,0000,0,0000000,000b19bf,1f40,0000,0,000002d4,0000,0,0000000,000,0,0050,0050,0,0001,-32,48,0,0000,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
15,15,0,0000,0,0000000,000b19bf,1f40,0000,0,000002d4,0000,0,0000000,000,0,0050,0050,0,0001,-32,48,0,0000,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
16,16,0,0000,0,0000000,000b19bf,1f40,0020,0,000002d4,0000,0,0000000,000,0,0050,0020,0,0001,-32,48,0,0000,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
17,17,0,0000,0,0000000,000b19bf,1f40,0020,0,000006a0,0000,0,0000000,000,0,0050,0020,0,0001,-32,48,0,0000,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
18,18,0,0000,0,0000000,000b19bf,1f40,0020,0,000006a0,0000,0,0000000,000,0,0020,0020,0,0001,-32,48,0,0020,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
19,19,0,0000,0,0000000,000b19bf,1f40,0020,0,000006a0,0000,0,0000000,000,0,0020,0020,0,0001,-32,48,0,0020,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
20,20,0,0000,0,0000000,000b19bf,1f40,0020,0,000006a0,0000,0,0000000,000,0,0020,0020,0,0001,-32,48,0,0020,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
21,21,0,0000,0,0000000,000b19bf,1f40,0020,0,000006a0,0000,0,0000000,000,0,0020,0020,0,0001,0,-48,0,0020,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
22,22,0,0000,0,0000000,000b19bf,1f40,0020,0,000006a0,0000,0,0000000,000,0,0020,0020,0,0001,0,-48,0,0020,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
23,23,0,0000,0,0000000,000b19bf,1f40,0020,0,000006a0,0000,0,0000000,000,0,0020,0020,0,0001,0,-48,0,0020,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
24,24,0,0000,0,0000000,000b19bf,1f40,7fe0,1,000006a0,0000,0,0000000,000,0,0020,7f90,1,0001,0,-48,0,0020,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
25,25,0,0000,0,0000000,000b19bf,1f40,7fe0,1,00000168,0000,0,0000000,000,0,0020,7f90,1,0001,0,-48,0,0020,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
26,26,0,0000,0,0000000,000b19bf,1f40,7fe0,1,00000168,0000,0,0000000,000,0,ff90,7f90,1,0001,0,-48,0,ffe0,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
27,27,0,0000,0,0000000,000b19bf,1f40,7fe0,1,00000168,0000,0,0000000,000,0,ff90,7f90,1,0001,0,-48,0,ffe0,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
28,28,0,0000,0,0000000,000b19bf,1f40,7fe0,1,00000168,0000,0,0000000,000,0,ff90,7f90,1,0001,0,-48,0,ffe0,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
29,29,0,0000,0,0000000,000b19bf,1f40,7fe0,1,00000168,0000,0,0000000,000,0,ff90,7f90,1,0001,-64,64,0,ffe0,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
30,30,0,0000,0,0000000,000b19bf,1f40,7fe0,1,00000168,0000,0,0000000,000,0,ff90,7f90,1,0001,-64,64,0,ffe0,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
31,31,0,0000,0,0000000,000b19bf,1f40,7fe0,1,00000168,0000,0,0000000,000,0,ff90,7f90,1,0001,-64,64,0,ffe0,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
32,32,0,0000,0,0000000,000b19bf,1f40,0030,0,00000168,0000,0,0000000,000,0,ff90,0060,0,0001,-64,64,0,ffe0,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
33,33,0,0000,0,0000000,000b19bf,1f40,0030,0,00000080,0000,0,0000000,000,0,ff90,0060,0,0001,-64,64,0,ffe0,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
34,34,0,0000,0,0000000,000b19bf,1f40,0030,0,00000080,0000,0,0000000,000,0,0060,0060,0,0001,-64,64,0,0030,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
35,35,0,0000,0,0000000,000b19bf,1f40,0030,0,00000080,0000,0,0000000,000,0,0060,0060,0,0001,-64,64,0,0030,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
36,36,0,0000,0,0000000,000b19bf,1f40,0030,0,00000080,0000,0,0000000,000,0,0060,0060,0,0001,-64,64,0,0030,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
37,37,0,0000,0,0000000,000b19bf,1f40,0030,0,00000080,0000,0,0000000,000,0,0060,0060,0,0001,96,-32,0,0030,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
38,38,0,0000,0,0000000,000b19bf,1f40,0030,0,00000080,0000,0,0000000,000,0,0060,0060,0,0001,96,-32,0,0030,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
39,39,0,0000,0,0000000,000b19bf,1f40,0030,0,00000080,0000,0,0000000,000,0,0060,0060,0,0001,96,-32,0,0030,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
40,40,0,0000,0,0000000,000b19bf,1f40,7ff0,1,00000080,0000,0,0000000,000,0,0060,7ff0,1,0001,96,-32,0,0030,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
41,41,0,0000,0,0000000,000b19bf,1f40,7ff0,1,000001b4,0000,0,0000000,000,0,0060,7ff0,1,0001,96,-32,0,0030,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
42,42,0,0000,0,0000000,000b19bf,1f40,7ff0,1,000001b4,0000,0,0000000,000,0,fff0,7ff0,1,0001,96,-32,0,fff0,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
43,43,0,0000,0,0000000,000b19bf,1f40,7ff0,1,000001b4,0000,0,0000000,000,0,fff0,7ff0,1,0001,96,-32,0,fff0,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
44,44,0,0000,0,0000000,000b19bf,1f40,7ff0,1,000001b4,0000,0,0000000,000,0,fff0,7ff0,1,0001,96,-32,0,fff0,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
45,45,0,0000,0,0000000,000b19bf,1f40,7ff0,1,000001b4,0000,0,0000000,000,0,fff0,7ff0,1,0001,-96,16,0,fff0,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
46,46,0,0000,0,0000000,000b19bf,1f40,7ff0,1,000001b4,0000,0,0000000,000,0,fff0,7ff0,1,0001,-96,16,0,fff0,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
47,47,0,0000,0,0000000,000b19bf,1f40,7ff0,1,000001b4,0000,0,0000000,000,0,fff0,7ff0,1,0001,-96,16,0,fff0,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
48,48,0,0000,0,0000000,000b19bf,1f40,0020,0,000001b4,0000,0,0000000,000,0,fff0,7fe0,1,0001,-96,16,0,fff0,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
49,49,0,0000,0,0000000,000b19bf,1f40,0020,0,00000094,0000,0,0000000,000,0,fff0,7fe0,1,0001,-96,16,0,fff0,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
50,50,0,0000,0,0000000,000b19bf,1f40,0020,0,00000094,0000,0,0000000,000,0,ffe0,7fe0,1,0001,-96,16,0,0020,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
51,51,0,0000,0,0000000,000b19bf,1f40,0020,0,00000094,0000,0,0000000,000,0,ffe0,7fe0,1,0001,-96,16,0,0020,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
52,52,0,0000,0,0000000,000b19bf,1f40,0020,0,00000094,0000,0,0000000,000,0,ffe0,7fe0,1,0001,-96,16,0,0020,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
53,53,0,0000,0,0000000,000b19bf,1f40,0020,0,00000094,0000,0,0000000,000,0,ffe0,7fe0,1,0001,96,16,0,0020,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
54,54,0,0000,0,0000000,000b19bf,1f40,0020,0,00000094,0000,0,0000000,000,0,ffe0,7fe0,1,0001,96,16,0,0020,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
55,55,0,0000,0,0000000,000b19bf,1f40,0020,0,00000094,0000,0,0000000,000,0,ffe0,7fe0,1,0001,96,16,0,0020,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
56,56,0,0000,0,0000000,000b19bf,1f40,0010,0,00000094,0000,0,0000000,000,0,ffe0,0030,0,0001,96,16,0,0020,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
57,57,0,0000,0,0000000,000b19bf,1f40,0010,0,000001f4,0000,0,0000000,000,0,ffe0,0030,0,0001,96,16,0,0020,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
58,58,0,0000,0,0000000,000b19bf,1f40,0010,0,000001f4,0000,0,0000000,000,0,0030,0030,0,0001,96,16,0,0010,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
59,59,0,0000,0,0000000,000b19bf,1f40,0010,0,000001f4,0000,0,0000000,000,0,0030,0030,0,0001,96,16,0,0010,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
60,60,0,0000,0,0000000,000b19bf,1f40,0010,0,000001f4,0000,0,0000000,000,0,0030,0030,0,0001,96,16,0,0010,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
61,61,0,0000,0,0000000,000b19bf,1f40,0010,0,000001f4,0000,0,0000000,000,0,0030,0030,0,0001,-48,48,0,0010,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
62,62,0,0000,0,0000000,000b19bf,1f40,0010,0,000001f4,0000,0,0000000,000,0,0030,0030,0,0001,-48,48,0,0010,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
63,63,0,0000,0,0000000,000b19bf,1f40,0010,0,000001f4,0000,0,0000000,000,0,0030,0030,0,0001,-48,48,0,0010,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
64,64,0,0000,0,0000000,000b19bf,1f40,7fe0,1,000001f4,0000,0,0000000,000,0,0030,0020,0,0001,-48,48,0,0010,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
65,65,0,0000,0,0000000,000b19bf,1f40,7fe0,1,000000a4,0000,0,0000000,000,0,0030,0020,0,0001,-48,48,0,0010,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
66,66,0,0000,0,0000000,000b19bf,1f40,7fe0,1,000000a4,0000,0,0000000,000,0,0020,0020,0,0001,-48,48,0,ffe0,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
67,67,0,0000,0,0000000,000b19bf,1f40,7fe0,1,000000a4,0000,0,0000000,000,0,0020,0020,0,0001,-48,48,0,ffe0,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
68,68,0,0000,0,0000000,000b19bf,1f40,7fe0,1,000000a4,0000,0,0000000,000,0,0020,0020,0,0001,-48,48,0,ffe0,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
69,69,0,0000,0,0000000,000b19bf,1f40,7fe0,1,000000a4,0000,0,0000000,000,0,0020,0020,0,0001,32,-32,0,ffe0,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
70,70,0,0000,0,0000000,000b19bf,1f40,7fe0,1,000000a4,0000,0,0000000,000,0,0020,0020,0,0001,32,-32,0,ffe0,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
71,71,0,0000,0,0000000,000b19bf,1f40,7fe0,1,000000a4,0000,0,0000000,000,0,0020,0020,0,0001,32,-32,0,ffe0,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
72,72,0,0000,0,0000000,000b19bf,1f40,7ff0,1,000000a4,0000,0,0000000,000,0,0020,7fa0,1,0001,32,-32,0,ffe0,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
73,73,0,0000,0,0000000,000b19bf,1f40,7ff0,1,000000c4,0000,0,0000000,000,0,0020,7fa0,1,0001,32,-32,0,ffe0,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
74,74,0,0000,0,0000000,000b19bf,1f40,7ff0,1,000000c4,0000,0,0000000,000,0,ffa0,7fa0,1,0001,32,-32,0,fff0,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
75,75,0,0000,0,0000000,000b19bf,1f40,7ff0,1,000000c4,0000,0,0000000,000,0,ffa0,7fa0,1,0001,32,-32,0,fff0,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
76,76,0,0000,0,0000000,000b19bf,1f40,7ff0,1,000000c4,0000,0,0000000,000,0,ffa0,7fa0,1,0001,32,-32,0,fff0,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
77,77,0,0000,0,0000000,000b19bf,1f40,7ff0,1,000000c4,0000,0,0000000,000,0,ffa0,7fa0,1,0001,-32,32,0,fff0,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
78,78,0,0000,0,0000000,000b19bf,1f40,7ff0,1,000000c4,0000,0,0000000,000,0,ffa0,7fa0,1,0001,-32,32,0,fff0,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
79,79,0,0000,0,0000000,000b19bf,1f40,7ff0,1,000000c4,0000,0,0000000,000,0,ffa0,7fa0,1,0001,-32,32,0,fff0,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
80,80,0,0000,0,0000000,000b19bf,1f40,0030,0,000000c4,0000,0,0000000,000,0,ffa0,0000,0,0001,-32,32,0,fff0,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
81,81,0,0000,0,0000000,000b19bf,1f40,0030,0,00000334,0000,0,0000000,000,0,ffa0,0000,0,0001,-32,32,0,fff0,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
82,82,0,0000,0,0000000,000b19bf,1f40,0030,0,00000334,0000,0,0000000,000,0,0000,0000,0,0001,-32,32,0,0030,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
83,83,0,0000,0,0000000,000b19bf,1f40,0030,0,00000334,0000,0,0000000,000,0,0000,0000,0,0001,-32,32,0,0030,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
84,84,0,0000,0,0000000,000b19bf,1f40,0030,0,00000334,0000,0,0000000,000,0,0000,0000,0,0001,-32,32,0,0030,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
85,85,0,0000,0,0000000,000b19bf,1f40,0030,0,00000334,0000,0,0000000,000,0,0000,0000,0,0001,48,16,0,0030,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
86,86,0,0000,0,0000000,000b19bf,1f40,0030,0,00000334,0000,0,0000000,000,0,0000,0000,0,0001,48,16,0,0030,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
87,87,0,0000,0,0000000,000b19bf,1f40,0030,0,00000334,0000,0,0000000,000,0,0000,0000,0,0001,48,16,0,0030,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
88,88,0,0000,0,0000000,000b19bf,1f40,7ff0,1,00000334,0000,0,0000000,000,0,0000,0050,0,0001,48,16,0,0030,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
89,89,0,0000,0,0000000,000b19bf,1f40,7ff0,1,000000d4,0000,0,0000000,000,0,0000,0050,0,0001,48,16,0,0030,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
90,90,0,0000,0,0000000,000b19bf,1f40,7ff0,1,000000d4,0000,0,0000000,000,0,0050,0050,0,0001,48,16,0,fff0,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
91,91,0,0000,0,0000000,000b19bf,1f40,7ff0,1,000000d4,0000,0,0000000,000,0,0050,0050,0,0001,48,16,0,fff0,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
92,92,0,0000,0,0000000,000b19bf,1f40,7ff0,1,000000d4,0000,0,0000000,000,0,0050,0050,0,0001,48,16,0,fff0,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
93,93,0,0000,0,0000000,000b19bf,1f40,7ff0,1,000000d4,0000,0,0000000,000,0,0050,0050,0,0001,48,0,0,fff0,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
94,94,0,0000,0,0000000,000b19bf,1f40,7ff0,1,000000d4,0000,0,0000000,000,0,0050,0050,0,0001,48,0,0,fff0,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
95,95,0,0000,0,0000000,000b19bf,1f40,7ff0,1,000000d4,0000,0,0000000,000,0,0050,0050,0,0001,48,0,0,fff0,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
96,96,0,0000,0,0000000,000b19bf,1f40,0020,0,000000d4,0000,0,0000000,000,0,0050,7ff0,1,0001,48,0,0,fff0,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
97,97,0,0000,0,0000000,000b19bf,1f40,0020,0,00000184,0000,0,0000000,000,0,0050,7ff0,1,0001,48,0,0,fff0,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
98,98,0,0000,0,0000000,000b19bf,1f40,0020,0,00000184,0000,0,0000000,000,0,fff0,7ff0,1,0001,48,0,0,0020,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
99,99,0,0000,0,0000000,000b19bf,1f40,0020,0,00000184,0000,0,0000000,000,0,fff0,7ff0,1,0001,48,0,0,0020,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
100,100,0,0000,0,0000000,000b19bf,1f40,0020,0,00000184,0000,0,0000000,000,0,fff0,7ff0,1,0001,48,0,0,0020,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
101,101,0,0000,0,0000000,000b19bf,1f40,0020,0,00000184,0000,0,0000000,000,0,fff0,7ff0,1,0001,-112,-16,0,0020,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
102,102,0,0000,0,0000000,000b19bf,1f40,0020,0,00000184,0000,0,0000000,000,0,fff0,7ff0,1,0001,-112,-16,0,0020,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
103,103,0,0000,0,0000000,000b19bf,1f40,0020,0,00000184,0000,0,0000000,000,0,fff0,7ff0,1,0001,-112,-16,0,0020,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
104,104,0,0000,0,0000000,000b19bf,1f40,7fd0,1,00000184,0000,0,0000000,000,0,fff0,7fb0,1,0001,-112,-16,0,0020,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
105,105,0,0000,0,0000000,000b19bf,1f40,7fd0,1,00000290,0000,0,0000000,000,0,fff0,7fb0,1,0001,-112,-16,0,0020,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
106,106,0,0000,0,0000000,000b19bf,1f40,7fd0,1,00000290,0000,0,0000000,000,0,ffb0,7fb0,1,0001,-112,-16,0,ffd0,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
107,107,0,0000,0,0000000,000b19bf,1f40,7fd0,1,00000290,0000,0,0000000,000,0,ffb0,7fb0,1,0001,-112,-16,0,ffd0,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
108,108,0,0000,0,0000000,000b19bf,1f40,7fd0,1,00000290,0000,0,0000000,000,0,ffb0,7fb0,1,0001,-112,-16,0,ffd0,2,0008770d,0000,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
